relpath,caption,key,bpm,mood,ckz
Crushed_keyz_melody_loops/1. cKz! No tE VAYAS Fsharpmin 105 bpm @crushed_keyz 1.mp3,1. cKz! No tE VAYAS Fsharpmin 105 bpm @crushed_keyz 1,,,,True
Crushed_keyz_melody_loops/10. cKz! JUNGLE C#min 140 bpm @crushed_keyz.mp3,10. cKz! JUNGLE C#min 140 bpm @crushed_keyz,,,,True
Crushed_keyz_melody_loops/11. cKz! CANOPY Amin 125 bpm @crushed_keyz.mp3,11. cKz! CANOPY Amin 125 bpm @crushed_keyz,,,,True
Crushed_keyz_melody_loops/12. cKz! WUNNA C#min 125 bpm @crushed_keyz.mp3,12. cKz! WUNNA C#min 125 bpm @crushed_keyz,,,,True
Crushed_keyz_melody_loops/14. cKz! dESERT RAiN Bmin 160 @crushed_key.mp3,14. cKz! dESERT RAiN Bmin 160 @crushed_key,,,,True
Crushed_keyz_melody_loops/15. cKz! ACTiVE Cmin 155 bpm @crushed_keyz x @justryda.mp3,15. cKz! ACTiVE Cmin 155 bpm @crushed_keyz x @justryda,,,,True
Crushed_keyz_melody_loops/16. cKz! Rent Free Cmin 140 bpm @crushed_keyz @justryda_.mp3,16. cKz! Rent Free Cmin 140 bpm @crushed_keyz @justryda_,,,,True
Crushed_keyz_melody_loops/17. cKz! Pressure F#min 130 bpm @crushed_keyz 1.mp3,17. cKz! Pressure F#min 130 bpm @crushed_keyz 1,,,,True
Crushed_keyz_melody_loops/18. cKz! 3AM Cmin 161 bpm @crushed_keyz @prodkxvi.mp3,18. cKz! 3AM Cmin 161 bpm @crushed_keyz @prodkxvi,,,,True
Crushed_keyz_melody_loops/19. cKz! DreamDoor Emin 140 bpm @crushed_keyz x @bass._charity.mp3,19. cKz! DreamDoor Emin 140 bpm @crushed_keyz x @bass._charity,,,,True
Crushed_keyz_melody_loops/2. cKz! ICE Dmin 135 bpm @crushed_keyz.mp3,2. cKz! ICE Dmin 135 bpm @crushed_keyz,,,,True
Crushed_keyz_melody_loops/21. cKz! Panda Cmin 90 bpm @crushed_keyz.mp3,21. cKz! Panda Cmin 90 bpm @crushed_keyz,,,,True
Crushed_keyz_melody_loops/22. cKz! Coupe C#min 180 bpm @crushed_keyz x @vicheatitup.mp3,22. cKz! Coupe C#min 180 bpm @crushed_keyz x @vicheatitup,,,,True
Crushed_keyz_melody_loops/23. cKz! Wants Gmin 170 bpm @crushed_keyz @justryda_.mp3,23. cKz! Wants Gmin 170 bpm @crushed_keyz @justryda_,,,,True
Crushed_keyz_melody_loops/24. cKz! JuPitER Cmin 120 bpm @crushed_keyz.mp3,24. cKz! JuPitER Cmin 120 bpm @crushed_keyz,,,,True
Crushed_keyz_melody_loops/25. cKz! CoSmoS Dmin 132 bpm @crushed_keyz.mp3,25. cKz! CoSmoS Dmin 132 bpm @crushed_keyz,,,,True
Crushed_keyz_melody_loops/26. cKz! BANDS A#min 150 bpm @crushed_keyz.mp3,26. cKz! BANDS A#min 150 bpm @crushed_keyz,,,,True
Crushed_keyz_melody_loops/27. cKz! CAROUSEL G#min 160 bpm @crushed_keyz.mp3,27. cKz! CAROUSEL G#min 160 bpm @crushed_keyz,,,,True
Crushed_keyz_melody_loops/28. cKz!  LABYRiNTH Bmin 140 bpm @crushed_keyz.mp3,28. cKz!  LABYRiNTH Bmin 140 bpm @crushed_keyz,,,,True
Crushed_keyz_melody_loops/29. cKz! Act Up Amaj 180 bpm @crushed_keyz @incepshun_.mp3,29. cKz! Act Up Amaj 180 bpm @crushed_keyz @incepshun_,,,,True
Crushed_keyz_melody_loops/3. cKz! Soulful Shadows Cmin 95 @crushed_key.mp3,3. cKz! Soulful Shadows Cmin 95 @crushed_key,,,,True
Crushed_keyz_melody_loops/30. cKz! Cry Now Laugh Later A#min 142 bpm @crushed_keyz.mp3,30. cKz! Cry Now Laugh Later A#min 142 bpm @crushed_keyz,,,,True
Crushed_keyz_melody_loops/31. cKz! CONFINED 180 bpm Emin @crushed_keyz.mp3,31. cKz! CONFINED 180 bpm Emin @crushed_keyz,,,,True
Crushed_keyz_melody_loops/32. cKz! Coldhearted Emaj 95 bpm @crushed_keyz @dcosounds.mp3,32. cKz! Coldhearted Emaj 95 bpm @crushed_keyz @dcosounds,,,,True
Crushed_keyz_melody_loops/4. cKz! Emotions Cmin 155 bpm @crushed_keyz x @justryda.mp3,4. cKz! Emotions Cmin 155 bpm @crushed_keyz x @justryda,,,,True
Crushed_keyz_melody_loops/5. cKz! Depths Cmin 140 bpm @crushed_keyz x @justryda.mp3,5. cKz! Depths Cmin 140 bpm @crushed_keyz x @justryda,,,,True
Crushed_keyz_melody_loops/6. cKz! LowKey Cmin 100 bpm @crushed_keyz x @justryda.mp3,6. cKz! LowKey Cmin 100 bpm @crushed_keyz x @justryda,,,,True
Crushed_keyz_melody_loops/6. cKz! Nasty - Reggaeton Bmin 170 bpm @crushed_keyz.mp3,6. cKz! Nasty - Reggaeton Bmin 170 bpm @crushed_keyz,,,,True
Crushed_keyz_melody_loops/7. cKz! ICEBERG 124bpm @crushed_keyz - crushedkeyz@gmail.com.mp3,7. cKz! ICEBERG 124bpm @crushed_keyz - crushedkeyz@gmail.com,,,,True
Crushed_keyz_melody_loops/8. cKz! BreakUp NAV starter D#min 190 bpm @crushed_keyz @bass._charity.mp3,8. cKz! BreakUp NAV starter D#min 190 bpm @crushed_keyz @bass._charity,,,,True
Crushed_keyz_melody_loops/9. cKz! Steppa Fmin 110 bpm @crushed_keyz.mp3,9. cKz! Steppa Fmin 110 bpm @crushed_keyz,,,,True
Crushed_keyz_melody_loops/cKz! AzUL Fmin 140 bpm @crushed_keyz.mp3,cKz! AzUL Fmin 140 bpm @crushed_keyz,,,,True
Crushed_keyz_melody_loops/cKz! Azkaban Gmin 110 bpm @crushed_keyz.mp3,cKz! Azkaban Gmin 110 bpm @crushed_keyz,,,,True
Crushed_keyz_melody_loops/cKz! DiMELO Amin 90 bpm @crushed_keyz.mp3,cKz! DiMELO Amin 90 bpm @crushed_keyz,,,,True
Crushed_keyz_melody_loops/cKz! El Yunque Fsharpmin 90 bpm @crushed_keyz.mp3,cKz! El Yunque Fsharpmin 90 bpm @crushed_keyz,,,,True
Crushed_keyz_melody_loops/cKz! FlaMEnCO Bmin 125 bpm @crushed_keyz.mp3,cKz! FlaMEnCO Bmin 125 bpm @crushed_keyz,,,,True
Crushed_keyz_melody_loops/cKz! LATE NiGHTs F#min 135 bpm @crushed_keyz1.mp3,cKz! LATE NiGHTs F#min 135 bpm @crushed_keyz1,,,,True
Crushed_keyz_melody_loops/cKz! MYKE TOWERS Fmin 125 bpm @crushed_keyz.mp3,cKz! MYKE TOWERS Fmin 125 bpm @crushed_keyz,,,,True
Crushed_keyz_melody_loops/cKz! Mars C#min 125 bpm @crushed_keyz.mp3,cKz! Mars C#min 125 bpm @crushed_keyz,,,,True
Crushed_keyz_melody_loops/cKz! POWER Dmin 125 bpm @crushed_keyz @itsbynu.mp3,cKz! POWER Dmin 125 bpm @crushed_keyz @itsbynu,,,,True
Crushed_keyz_melody_loops/cKz! SPRAY Dmin 180 bpm @crushed_keyz.mp3,cKz! SPRAY Dmin 180 bpm @crushed_keyz,,,,True
Crushed_keyz_melody_loops/cKz! SUBiENDO Emin 90 bpm @crushed_keyz 1.mp3,cKz! SUBiENDO Emin 90 bpm @crushed_keyz 1,,,,True
