file,condition,key,bpm,title,seed,prompt,init_loop,init_path
001__matched__Cmin_155__ACTiVE__seed7.wav,matched,Cmin,155,ACTiVE,7,15. cKz! ACTiVE Cmin 155 bpm @crushed_keyz x @justryda,Cymatics - Dragon Nostalgic Loop - Renaissance - 128 BPM C Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Renaissance - 128 BPM C Min.wav
002__matched__Cmin_155__ACTiVE__seed123.wav,matched,Cmin,155,ACTiVE,123,15. cKz! ACTiVE Cmin 155 bpm @crushed_keyz x @justryda,Cymatics - Dragon Nostalgic Loop - Renaissance - 128 BPM C Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Renaissance - 128 BPM C Min.wav
003__offkey__Cmin_155__ACTiVE__seed7.wav,offkey,Cmin,155,ACTiVE,7,15. cKz! ACTiVE Cmin 155 bpm @crushed_keyz x @justryda,Cymatics - Oracle Sad Melody Loop 4 - 130 BPM F# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Oracle/Melodies/Cymatics - Oracle Sad Melody Loop 4 - 130 BPM F# Min.wav
004__offkey__Cmin_155__ACTiVE__seed123.wav,offkey,Cmin,155,ACTiVE,123,15. cKz! ACTiVE Cmin 155 bpm @crushed_keyz x @justryda,Cymatics - Oracle Sad Melody Loop 4 - 130 BPM F# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Oracle/Melodies/Cymatics - Oracle Sad Melody Loop 4 - 130 BPM F# Min.wav
005__noinit__Cmin_155__ACTiVE__seed7.wav,noinit,Cmin,155,ACTiVE,7,15. cKz! ACTiVE Cmin 155 bpm @crushed_keyz x @justryda,,
006__noinit__Cmin_155__ACTiVE__seed123.wav,noinit,Cmin,155,ACTiVE,123,15. cKz! ACTiVE Cmin 155 bpm @crushed_keyz x @justryda,,
007__matched__C#min_140__JUNGLE__seed7.wav,matched,C#min,140,JUNGLE,7,10. cKz! JUNGLE C#min 140 bpm @crushed_keyz,Cymatics - Dragon R&B Loop - Dawn To Dusk - 136 BPM C# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Dawn To Dusk - 136 BPM C# Min.wav
008__matched__C#min_140__JUNGLE__seed123.wav,matched,C#min,140,JUNGLE,123,10. cKz! JUNGLE C#min 140 bpm @crushed_keyz,Cymatics - Dragon R&B Loop - Dawn To Dusk - 136 BPM C# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Dawn To Dusk - 136 BPM C# Min.wav
009__offkey__C#min_140__JUNGLE__seed7.wav,offkey,C#min,140,JUNGLE,7,10. cKz! JUNGLE C#min 140 bpm @crushed_keyz,Cymatics - Dragon Dark Loop - Power - 136 BPM G Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_1/Dark/Cymatics - Dragon Dark Loop - Power - 136 BPM G Min.wav
010__offkey__C#min_140__JUNGLE__seed123.wav,offkey,C#min,140,JUNGLE,123,10. cKz! JUNGLE C#min 140 bpm @crushed_keyz,Cymatics - Dragon Dark Loop - Power - 136 BPM G Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_1/Dark/Cymatics - Dragon Dark Loop - Power - 136 BPM G Min.wav
