file,key,bpm,mood,title,seed,prompt,init_loop,init_path
00_Cascade_Cmin_90__seed7.wav,Cmin,90,,Cascade,7,cKz! Cascade Cmin 90 bpm @crushed_keyz,,
00_Cascade_Cmin_90__seed123.wav,Cmin,90,,Cascade,123,cKz! Cascade Cmin 90 bpm @crushed_keyz,,
01_Wraith_C#min_130__seed7.wav,C#min,130,,Wraith,7,cKz! Wraith C#min 130 bpm @crushed_keyz,,
01_Wraith_C#min_130__seed123.wav,C#min,130,,Wraith,123,cKz! Wraith C#min 130 bpm @crushed_keyz,,
02_Nocturne_Dmin_155__seed7.wav,Dmin,155,,Nocturne,7,cKz! Nocturne Dmin 155 bpm @crushed_keyz,,
02_Nocturne_Dmin_155__seed123.wav,Dmin,155,,Nocturne,123,cKz! Nocturne Dmin 155 bpm @crushed_keyz,,
03_Voltage_D#min_120__seed7.wav,D#min,120,,Voltage,7,cKz! Voltage D#min 120 bpm @crushed_keyz,,
03_Voltage_D#min_120__seed123.wav,D#min,120,,Voltage,123,cKz! Voltage D#min 120 bpm @crushed_keyz,,
04_Velvet_Emin_145__seed7.wav,Emin,145,,Velvet,7,cKz! Velvet Emin 145 bpm @crushed_keyz,,
04_Velvet_Emin_145__seed123.wav,Emin,145,,Velvet,123,cKz! Velvet Emin 145 bpm @crushed_keyz,,
05_Solaris_Fmin_100__seed7.wav,Fmin,100,,Solaris,7,cKz! Solaris Fmin 100 bpm @crushed_keyz,,
05_Solaris_Fmin_100__seed123.wav,Fmin,100,,Solaris,123,cKz! Solaris Fmin 100 bpm @crushed_keyz,,
06_Obsidian_F#min_135__seed7.wav,F#min,135,,Obsidian,7,cKz! Obsidian F#min 135 bpm @crushed_keyz,,
06_Obsidian_F#min_135__seed123.wav,F#min,135,,Obsidian,123,cKz! Obsidian F#min 135 bpm @crushed_keyz,,
07_Mirage_Gmin_160__seed7.wav,Gmin,160,,Mirage,7,cKz! Mirage Gmin 160 bpm @crushed_keyz,,
07_Mirage_Gmin_160__seed123.wav,Gmin,160,,Mirage,123,cKz! Mirage Gmin 160 bpm @crushed_keyz,,
08_Specter_G#min_125__seed7.wav,G#min,125,,Specter,7,cKz! Specter G#min 125 bpm @crushed_keyz,,
08_Specter_G#min_125__seed123.wav,G#min,125,,Specter,123,cKz! Specter G#min 125 bpm @crushed_keyz,,
09_Drift_Amin_150__seed7.wav,Amin,150,,Drift,7,cKz! Drift Amin 150 bpm @crushed_keyz,,
09_Drift_Amin_150__seed123.wav,Amin,150,,Drift,123,cKz! Drift Amin 150 bpm @crushed_keyz,,
10_Crimson_A#min_110__seed7.wav,A#min,110,,Crimson,7,cKz! Crimson A#min 110 bpm @crushed_keyz,,
10_Crimson_A#min_110__seed123.wav,A#min,110,,Crimson,123,cKz! Crimson A#min 110 bpm @crushed_keyz,,
11_Hollow_Bmin_140__seed7.wav,Bmin,140,,Hollow,7,cKz! Hollow Bmin 140 bpm @crushed_keyz,,
11_Hollow_Bmin_140__seed123.wav,Bmin,140,,Hollow,123,cKz! Hollow Bmin 140 bpm @crushed_keyz,,
12_Lantern_Cmin_90__seed7.wav,Cmin,90,,Lantern,7,cKz! Lantern Cmin 90 bpm @crushed_keyz,,
12_Lantern_Cmin_90__seed123.wav,Cmin,90,,Lantern,123,cKz! Lantern Cmin 90 bpm @crushed_keyz,,
13_Marrow_C#min_130__seed7.wav,C#min,130,,Marrow,7,cKz! Marrow C#min 130 bpm @crushed_keyz,,
13_Marrow_C#min_130__seed123.wav,C#min,130,,Marrow,123,cKz! Marrow C#min 130 bpm @crushed_keyz,,
14_Static_Dmin_155__seed7.wav,Dmin,155,,Static,7,cKz! Static Dmin 155 bpm @crushed_keyz,,
14_Static_Dmin_155__seed123.wav,Dmin,155,,Static,123,cKz! Static Dmin 155 bpm @crushed_keyz,,
15_Pulse_D#min_120__seed7.wav,D#min,120,,Pulse,7,cKz! Pulse D#min 120 bpm @crushed_keyz,,
15_Pulse_D#min_120__seed123.wav,D#min,120,,Pulse,123,cKz! Pulse D#min 120 bpm @crushed_keyz,,
16_Hazard_Emin_145__seed7.wav,Emin,145,,Hazard,7,cKz! Hazard Emin 145 bpm @crushed_keyz,,
16_Hazard_Emin_145__seed123.wav,Emin,145,,Hazard,123,cKz! Hazard Emin 145 bpm @crushed_keyz,,
17_Lotus_Fmin_100__seed7.wav,Fmin,100,,Lotus,7,cKz! Lotus Fmin 100 bpm @crushed_keyz,,
17_Lotus_Fmin_100__seed123.wav,Fmin,100,,Lotus,123,cKz! Lotus Fmin 100 bpm @crushed_keyz,,
18_Venom_F#min_135__seed7.wav,F#min,135,,Venom,7,cKz! Venom F#min 135 bpm @crushed_keyz,,
18_Venom_F#min_135__seed123.wav,F#min,135,,Venom,123,cKz! Venom F#min 135 bpm @crushed_keyz,,
19_Cipher_Gmin_160__seed7.wav,Gmin,160,,Cipher,7,cKz! Cipher Gmin 160 bpm @crushed_keyz,,
19_Cipher_Gmin_160__seed123.wav,Gmin,160,,Cipher,123,cKz! Cipher Gmin 160 bpm @crushed_keyz,,
