file,key,bpm,mood,title,seed,prompt,init_loop,init_path
0001__A#min_144_ethnic__Ember__loop-Cymatics_Dragon_Platinum_E__seed7.wav,A#min,144,ethnic,Ember,7,cKz! Ember A#min 144 bpm @crushed_keyz,Cymatics - Dragon Platinum Ethnic Loop - The Future - 144 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Ethnic Loop - The Future - 144 BPM A# Min.wav
0002__A#min_144_ethnic__Ember__loop-Cymatics_Dragon_Platinum_E__seed123.wav,A#min,144,ethnic,Ember,123,cKz! Ember A#min 144 bpm @crushed_keyz,Cymatics - Dragon Platinum Ethnic Loop - The Future - 144 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Ethnic Loop - The Future - 144 BPM A# Min.wav
0003__A#min_144_ethnic__ICE__loop-Cymatics_Dragon_Platinum_E__seed7.wav,A#min,144,ethnic,ICE,7,cKz! ICE A#min 144 bpm @crushed_keyz,Cymatics - Dragon Platinum Ethnic Loop - The Future - 144 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Ethnic Loop - The Future - 144 BPM A# Min.wav
0004__A#min_144_ethnic__ICE__loop-Cymatics_Dragon_Platinum_E__seed123.wav,A#min,144,ethnic,ICE,123,cKz! ICE A#min 144 bpm @crushed_keyz,Cymatics - Dragon Platinum Ethnic Loop - The Future - 144 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Ethnic Loop - The Future - 144 BPM A# Min.wav
0005__A#min_144_ethnic__JuPitER__loop-Cymatics_Dragon_Platinum_E__seed7.wav,A#min,144,ethnic,JuPitER,7,cKz! JuPitER A#min 144 bpm @crushed_keyz,Cymatics - Dragon Platinum Ethnic Loop - The Future - 144 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Ethnic Loop - The Future - 144 BPM A# Min.wav
0006__A#min_144_ethnic__JuPitER__loop-Cymatics_Dragon_Platinum_E__seed123.wav,A#min,144,ethnic,JuPitER,123,cKz! JuPitER A#min 144 bpm @crushed_keyz,Cymatics - Dragon Platinum Ethnic Loop - The Future - 144 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Ethnic Loop - The Future - 144 BPM A# Min.wav
0007__A#min_152_dragon__StarLight__loop-Cymatics_Dragon_Nostalgic___seed7.wav,A#min,152,dragon,StarLight,7,cKz! StarLight A#min 152 bpm @crushed_keyz,Cymatics - Dragon Nostalgic Loop - Twilight - 152 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Twilight - 152 BPM A# Min.wav
0008__A#min_152_dragon__StarLight__loop-Cymatics_Dragon_Nostalgic___seed123.wav,A#min,152,dragon,StarLight,123,cKz! StarLight A#min 152 bpm @crushed_keyz,Cymatics - Dragon Nostalgic Loop - Twilight - 152 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Twilight - 152 BPM A# Min.wav
0009__A#min_152_dragon__Crystal__loop-Cymatics_Dragon_Nostalgic___seed7.wav,A#min,152,dragon,Crystal,7,cKz! Crystal A#min 152 bpm @crushed_keyz,Cymatics - Dragon Nostalgic Loop - Twilight - 152 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Twilight - 152 BPM A# Min.wav
0010__A#min_152_dragon__Crystal__loop-Cymatics_Dragon_Nostalgic___seed123.wav,A#min,152,dragon,Crystal,123,cKz! Crystal A#min 152 bpm @crushed_keyz,Cymatics - Dragon Nostalgic Loop - Twilight - 152 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Twilight - 152 BPM A# Min.wav
