rank,pred_score,pred_timbre,pred_melody,audible_ratio,file
1,7.875,4.25,3.62,0.88,0051__Bmin_110_dark__Halo__loop-Cymatics_Dragon_Platinum_D__seed7.wav
2,7.055,4.15,3.59,0.78,0115__Cmin_128_dragon__Veil__loop-Cymatics_Dragon_Nostalgic___seed7.wav
3,6.947,3.45,3.50,0.91,0241__G#min_105_ethnic__Scenic__loop-Cymatics_Dragon_Ethnic_Loo__seed7.wav
4,6.945,3.45,3.50,1.00,0281__Gmin_102_rnb__Midnight__loop-Cymatics_Gems_Vol_6_Fading__seed7.wav
5,6.710,4.00,3.51,0.76,0273__Gmin_130_r&b__ACTiVE__loop-Cymatics_Dragon_R_B_Loop_R__seed7.wav
6,6.668,3.38,3.28,0.91,0245__G#min_105_ethnic__Glassland__loop-Cymatics_Dragon_Ethnic_Loo__seed7.wav
7,6.457,2.92,3.54,0.91,0244__G#min_105_ethnic__Rent_Free__loop-Cymatics_Dragon_Ethnic_Loo__seed123.wav
8,6.452,3.54,2.91,0.89,0049__Bmin_110_dark__FlaMEnCO__loop-Cymatics_Dragon_Platinum_D__seed7.wav
9,6.432,2.97,3.46,1.00,0279__Gmin_102_rnb__Twilight__loop-Cymatics_Gems_Vol_6_Fading__seed7.wav
10,6.400,3.53,2.87,0.91,0243__G#min_105_ethnic__Rent_Free__loop-Cymatics_Dragon_Ethnic_Loo__seed7.wav
11,6.388,3.19,3.20,1.00,0229__Fmin_70_r&b__Ember__loop-Cymatics_Dragon_Platinum_R__seed7.wav
12,6.381,3.45,2.93,0.96,0147__Dmin_100_r&b__BANDS__loop-Cymatics_Dragon_R_B_Loop_L__seed7.wav
13,6.290,3.10,3.19,0.94,0203__F#min_105_dark__BANDS__loop-Cymatics_Oracle_Dark_Melod__seed7.wav
14,6.137,3.04,3.10,0.90,0053__Bmin_110_dark__JuPitER__loop-Cymatics_Dragon_Platinum_D__seed7.wav
15,6.124,3.22,2.91,0.93,0204__F#min_105_dark__BANDS__loop-Cymatics_Oracle_Dark_Melod__seed123.wav
16,5.979,3.02,2.95,0.95,0110__Cmin_65_trap__Panda__loop-Cymatics_Dragon_Platinum_O__seed123.wav
17,5.976,2.94,3.03,0.94,0145__Dmin_100_r&b__Depths__loop-Cymatics_Dragon_R_B_Loop_L__seed7.wav
18,5.838,2.46,3.38,0.97,0105__Cmin_80_various__CANOPY__loop-Cymatics_Dragon_Various_Lo__seed7.wav
19,5.832,2.36,3.47,0.93,0201__F#min_105_dark__LATE__loop-Cymatics_Oracle_Dark_Melod__seed7.wav
20,5.799,2.78,3.02,0.89,0052__Bmin_110_dark__Halo__loop-Cymatics_Dragon_Platinum_D__seed123.wav
21,5.756,2.81,2.95,1.00,0015__A#min_97_oracle__BANDS__loop-Cymatics_Oracle_West_Coast__seed7.wav
22,5.715,2.76,2.95,1.00,0017__A#min_97_oracle__CoSmoS__loop-Cymatics_Oracle_West_Coast__seed7.wav
23,5.695,2.72,2.98,0.90,0054__Bmin_110_dark__JuPitER__loop-Cymatics_Dragon_Platinum_D__seed123.wav
24,5.668,2.84,2.83,0.96,0018__A#min_97_oracle__CoSmoS__loop-Cymatics_Oracle_West_Coast__seed123.wav
