file,key,bpm,mood,title,seed,prompt,init_loop,init_path
01_T2.7_M3.0__0427__F#min_113_cobra__Dusk__loop-Cymatics_Cobra_Flute_Loop___seed7.wav,F#min,113,cobra,Dusk,7,cKz! Dusk F#min 113 bpm @crushed_keyz,Cymatics - Cobra Flute Loop 2 Wet - 113 BPM F# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Cobra - Melodics/Instrument Loops/Flutes/Processed/Cymatics - Cobra Flute Loop 2 Wet - 113 BPM F# Min.wav
02_T2.8_M2.9__0085__Amin_160_misc__Depths__loop-Cymatics_2020_Nostalgic_Me__seed7.wav,Amin,160,misc,Depths,7,cKz! Depths Amin 160 bpm @crushed_keyz,Cymatics - 2020 Nostalgic Melody Loop 10 - 160 BPM A Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_2020_Melody_Collection/Cymatics - 2020 Nostalgic Melody Loop 10 - 160 BPM A Min.wav
03_T2.7_M3.0__0295__Dmin_100_r&b__LATE__loop-Cymatics_Dragon_R_B_Loop_L__seed7.wav,Dmin,100,r&b,LATE,7,cKz! LATE Dmin 100 bpm @crushed_keyz,Cymatics - Dragon R&B Loop - Liquid Courage - 100 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Liquid Courage - 100 BPM D Min.wav
04_T3.0_M2.7__0076__Amin_130_sad__Halo__loop-Cymatics_Oracle_Sad_Melody__seed7.wav,Amin,130,sad,Halo,7,cKz! Halo Amin 130 bpm @crushed_keyz,Cymatics - Oracle Sad Melody Loop 5 - 130 BPM A Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Oracle/Melodies/Cymatics - Oracle Sad Melody Loop 5 - 130 BPM A Min.wav
05_T2.7_M2.9__0097__Bmin_110_dark__Mirage__loop-Cymatics_Dragon_Platinum_D__seed7.wav,Bmin,110,dark,Mirage,7,cKz! Mirage Bmin 110 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Vengeance - 110 BPM B Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Vengeance - 110 BPM B Min.wav
06_T2.8_M2.8__0382__Emin_94_dark__POWER__loop-Cymatics_Gems_Dark_Loop_Nu__seed7.wav,Emin,94,dark,POWER,7,cKz! POWER Emin 94 bpm @crushed_keyz,Cymatics - Gems Dark Loop - Numb - 94 BPM E Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Gems_Ultimate_Edition_Vol_1_Pt_1/Dark/Cymatics - Gems Dark Loop - Numb - 94 BPM E Min.wav
07_T2.8_M2.9__0311__Dmin_140_dark__LowKey__loop-Cymatics_Dragon_Dark_Loop___seed123.wav,Dmin,140,dark,LowKey,123,cKz! LowKey Dmin 140 bpm @crushed_keyz,Cymatics - Dragon Dark Loop - Mortals - 140 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_1/Dark/Cymatics - Dragon Dark Loop - Mortals - 140 BPM D Min.wav
08_T2.6_M3.0__0397__F#min_105_dark__Glassland__loop-Cymatics_Oracle_Dark_Melod__seed7.wav,F#min,105,dark,Glassland,7,cKz! Glassland F#min 105 bpm @crushed_keyz,Cymatics - Oracle Dark Melody Loop 2 - 105 BPM F# Min Bell.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Oracle/Stems/Cymatics - Oracle Dark Melody Loop 2 - 105 BPM F# Min Stems/Cymatics - Oracle Dark Melody Loop 2 - 105 BPM F# Min Bell.wav
09_T3.0_M2.6__0127__Bmin_140_sad__Mars__loop-Cymatics_Dragon_Sad_Loop_F__seed7.wav,Bmin,140,sad,Mars,7,cKz! Mars Bmin 140 bpm @crushed_keyz,Cymatics - Dragon Sad Loop - Forgotten - 140 BPM B Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 5/Sad/Cymatics - Dragon Sad Loop - Forgotten - 140 BPM B Min.wav
10_T2.6_M3.1__0206__Cmin_80_various__Halo__loop-Cymatics_Dragon_Various_Lo__seed123.wav,Cmin,80,various,Halo,123,cKz! Halo Cmin 80 bpm @crushed_keyz,Cymatics - Dragon Various Loop - Hush - 80 BPM C Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Hush - 80 BPM C Min.wav
11_T2.9_M2.8__0123__Bmin_140_sad__Nasty__loop-Cymatics_Dragon_Sad_Loop_F__seed777.wav,Bmin,140,sad,Nasty,777,cKz! Nasty Bmin 140 bpm @crushed_keyz,Cymatics - Dragon Sad Loop - Forgotten - 140 BPM B Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 5/Sad/Cymatics - Dragon Sad Loop - Forgotten - 140 BPM B Min.wav
12_T2.6_M3.0__0106__Bmin_110_dark__Midnight__loop-Cymatics_Dragon_Platinum_D__seed7.wav,Bmin,110,dark,Midnight,7,cKz! Midnight Bmin 110 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Vengeance - 110 BPM B Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Vengeance - 110 BPM B Min.wav
13_T2.9_M2.7__0235__Cmin_128_dragon__LATE__loop-Cymatics_Dragon_Nostalgic___seed7.wav,Cmin,128,dragon,LATE,7,cKz! LATE Cmin 128 bpm @crushed_keyz,Cymatics - Dragon Nostalgic Loop - Renaissance - 128 BPM C Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Renaissance - 128 BPM C Min.wav
14_T2.9_M2.8__0150__C#min_150_dragon__LATE__loop-Cymatics_Dragon_Orchestral__seed777.wav,C#min,150,dragon,LATE,777,cKz! LATE C#min 150 bpm @crushed_keyz,Cymatics - Dragon Orchestral Loop - Drill - 150 BPM C# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Drill - 150 BPM C# Min.wav
15_T2.8_M2.8__0407__F#min_105_dark__Cry__loop-Cymatics_Oracle_Dark_Melod__seed123.wav,F#min,105,dark,Cry,123,cKz! Cry F#min 105 bpm @crushed_keyz,Cymatics - Oracle Dark Melody Loop 2 - 105 BPM F# Min Bell.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Oracle/Stems/Cymatics - Oracle Dark Melody Loop 2 - 105 BPM F# Min Stems/Cymatics - Oracle Dark Melody Loop 2 - 105 BPM F# Min Bell.wav
16_T2.6_M3.0__0265__D#min_140_cobra__Halo__loop-Cymatics_Cobra_Melody_Loop__seed7.wav,D#min,140,cobra,Halo,7,cKz! Halo D#min 140 bpm @crushed_keyz,Cymatics - Cobra Melody Loop 13 - 140 BPM D# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 13 - 140 BPM D# Min.wav
17_T2.6_M3.0__0100__Bmin_110_dark__Halo__loop-Cymatics_Dragon_Platinum_D__seed7.wav,Bmin,110,dark,Halo,7,cKz! Halo Bmin 110 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Vengeance - 110 BPM B Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Vengeance - 110 BPM B Min.wav
18_T3.0_M2.7__0489__G#min_105_ethnic__Panda__loop-Cymatics_Dragon_Ethnic_Loo__seed777.wav,G#min,105,ethnic,Panda,777,cKz! Panda G#min 105 bpm @crushed_keyz,Cymatics - Dragon Ethnic Loop - Runners - 105 BPM G# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_2/Ethnic/Cymatics - Dragon Ethnic Loop - Runners - 105 BPM G# Min.wav
19_T2.7_M2.9__0429__F#min_113_cobra__Dusk__loop-Cymatics_Cobra_Flute_Loop___seed777.wav,F#min,113,cobra,Dusk,777,cKz! Dusk F#min 113 bpm @crushed_keyz,Cymatics - Cobra Flute Loop 2 Wet - 113 BPM F# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Cobra - Melodics/Instrument Loops/Flutes/Processed/Cymatics - Cobra Flute Loop 2 Wet - 113 BPM F# Min.wav
20_T2.8_M2.8__0437__Fmin_160_various__Depths__loop-Cymatics_Oracle_Various_Me__seed123.wav,Fmin,160,various,Depths,123,cKz! Depths Fmin 160 bpm @crushed_keyz,Cymatics - Oracle Various Melody Loop 19 - 160 BPM F Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Oracle/Melodies/Cymatics - Oracle Various Melody Loop 19 - 160 BPM F Min.wav
21_T2.9_M2.7__0122__Bmin_140_sad__Nasty__loop-Cymatics_Dragon_Sad_Loop_F__seed123.wav,Bmin,140,sad,Nasty,123,cKz! Nasty Bmin 140 bpm @crushed_keyz,Cymatics - Dragon Sad Loop - Forgotten - 140 BPM B Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 5/Sad/Cymatics - Dragon Sad Loop - Forgotten - 140 BPM B Min.wav
22_T3.0_M2.6__0224__Cmin_65_trap__StarLight__loop-Cymatics_Dragon_Platinum_O__seed123.wav,Cmin,65,trap,StarLight,123,cKz! StarLight Cmin 65 bpm @crushed_keyz,Cymatics - Dragon Platinum Orchestral Loop - Trap Or Die - 65 BPM C Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Orchestral Loop - Trap Or Die - 65 BPM C Min.wav
23_T2.7_M2.9__0296__Dmin_100_r&b__LATE__loop-Cymatics_Dragon_R_B_Loop_L__seed123.wav,Dmin,100,r&b,LATE,123,cKz! LATE Dmin 100 bpm @crushed_keyz,Cymatics - Dragon R&B Loop - Liquid Courage - 100 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Liquid Courage - 100 BPM D Min.wav
24_T3.1_M2.5__0078__Amin_130_sad__Halo__loop-Cymatics_Oracle_Sad_Melody__seed777.wav,Amin,130,sad,Halo,777,cKz! Halo Amin 130 bpm @crushed_keyz,Cymatics - Oracle Sad Melody Loop 5 - 130 BPM A Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Oracle/Melodies/Cymatics - Oracle Sad Melody Loop 5 - 130 BPM A Min.wav
25_T2.9_M2.7__0302__Dmin_140_dark__Mars__loop-Cymatics_Dragon_Dark_Loop___seed123.wav,Dmin,140,dark,Mars,123,cKz! Mars Dmin 140 bpm @crushed_keyz,Cymatics - Dragon Dark Loop - Mortals - 140 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_1/Dark/Cymatics - Dragon Dark Loop - Mortals - 140 BPM D Min.wav
26_T2.8_M2.8__0117__Bmin_167_dark__Midnight__loop-Cymatics_Oracle_Dark_Melod__seed777.wav,Bmin,167,dark,Midnight,777,cKz! Midnight Bmin 167 bpm @crushed_keyz,Cymatics - Oracle Dark Melody Loop 15 - 167 BPM B Min Guitar.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Oracle/Stems/Cymatics - Oracle Dark Melody Loop 15 - 167 BPM B Min Stems/Cymatics - Oracle Dark Melody Loop 15 - 167 BPM B Min Guitar.wav
