rank,pred_score,pred_timbre,pred_melody,density,file
1,5.685,2.72,2.97,1.00,0427__F#min_113_cobra__Dusk__loop-Cymatics_Cobra_Flute_Loop___seed7.wav
2,5.683,2.79,2.89,0.99,0085__Amin_160_misc__Depths__loop-Cymatics_2020_Nostalgic_Me__seed7.wav
3,5.676,2.72,2.96,1.00,0295__Dmin_100_r&b__LATE__loop-Cymatics_Dragon_R_B_Loop_L__seed7.wav
4,5.670,2.96,2.71,1.00,0076__Amin_130_sad__Halo__loop-Cymatics_Oracle_Sad_Melody__seed7.wav
5,5.663,2.71,2.95,0.97,0097__Bmin_110_dark__Mirage__loop-Cymatics_Dragon_Platinum_D__seed7.wav
6,5.654,2.83,2.82,1.00,0382__Emin_94_dark__POWER__loop-Cymatics_Gems_Dark_Loop_Nu__seed7.wav
7,5.654,2.78,2.87,0.97,0311__Dmin_140_dark__LowKey__loop-Cymatics_Dragon_Dark_Loop___seed123.wav
8,5.650,2.62,3.03,1.00,0397__F#min_105_dark__Glassland__loop-Cymatics_Oracle_Dark_Melod__seed7.wav
9,5.649,3.01,2.64,1.00,0127__Bmin_140_sad__Mars__loop-Cymatics_Dragon_Sad_Loop_F__seed7.wav
10,5.649,2.58,3.07,0.97,0206__Cmin_80_various__Halo__loop-Cymatics_Dragon_Various_Lo__seed123.wav
11,5.646,2.87,2.78,1.00,0123__Bmin_140_sad__Nasty__loop-Cymatics_Dragon_Sad_Loop_F__seed777.wav
12,5.642,2.62,3.02,0.99,0106__Bmin_110_dark__Midnight__loop-Cymatics_Dragon_Platinum_D__seed7.wav
13,5.634,2.90,2.73,1.00,0235__Cmin_128_dragon__LATE__loop-Cymatics_Dragon_Nostalgic___seed7.wav
14,5.634,2.88,2.75,0.89,0150__C#min_150_dragon__LATE__loop-Cymatics_Dragon_Orchestral__seed777.wav
15,5.633,2.80,2.83,1.00,0407__F#min_105_dark__Cry__loop-Cymatics_Oracle_Dark_Melod__seed123.wav
16,5.631,2.65,2.99,1.00,0265__D#min_140_cobra__Halo__loop-Cymatics_Cobra_Melody_Loop__seed7.wav
17,5.630,2.58,3.05,1.00,0100__Bmin_110_dark__Halo__loop-Cymatics_Dragon_Platinum_D__seed7.wav
18,5.630,2.97,2.66,0.98,0489__G#min_105_ethnic__Panda__loop-Cymatics_Dragon_Ethnic_Loo__seed777.wav
