file,key,bpm,mood,title,seed,prompt,init_loop,init_path
00_Mirage_Dmin__s70__seed7.wav,Dmin,140,s70,Mirage,7,cKz! Mirage Dmin 140 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav
00_Mirage_Dmin__s70__seed123.wav,Dmin,140,s70,Mirage,123,cKz! Mirage Dmin 140 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav
01_Obsidian_Bmin__s70__seed7.wav,Bmin,130,s70,Obsidian,7,cKz! Obsidian Bmin 130 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Choppa - 130 BPM B Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Choppa - 130 BPM B Min.wav
01_Obsidian_Bmin__s70__seed123.wav,Bmin,130,s70,Obsidian,123,cKz! Obsidian Bmin 130 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Choppa - 130 BPM B Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Choppa - 130 BPM B Min.wav
02_Cascade_A#min__s70__seed7.wav,A#min,146,s70,Cascade,7,cKz! Cascade A#min 146 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav
02_Cascade_A#min__s70__seed123.wav,A#min,146,s70,Cascade,123,cKz! Cascade A#min 146 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav
03_Wraith_Amin__s70__seed7.wav,Amin,69,s70,Wraith,7,cKz! Wraith Amin 69 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Foolish - 69 BPM A Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Foolish - 69 BPM A Min.wav
03_Wraith_Amin__s70__seed123.wav,Amin,69,s70,Wraith,123,cKz! Wraith Amin 69 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Foolish - 69 BPM A Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Foolish - 69 BPM A Min.wav
04_Nocturne_Gmin__s70__seed7.wav,Gmin,145,s70,Nocturne,7,cKz! Nocturne Gmin 145 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Humanity - 145 BPM G Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Humanity - 145 BPM G Min.wav
04_Nocturne_Gmin__s70__seed123.wav,Gmin,145,s70,Nocturne,123,cKz! Nocturne Gmin 145 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Humanity - 145 BPM G Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Humanity - 145 BPM G Min.wav
05_Voltage_Cmin__s70__seed7.wav,Cmin,145,s70,Voltage,7,cKz! Voltage Cmin 145 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Immortal - 145 BPM C Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Immortal - 145 BPM C Min.wav
05_Voltage_Cmin__s70__seed123.wav,Cmin,145,s70,Voltage,123,cKz! Voltage Cmin 145 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Immortal - 145 BPM C Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Immortal - 145 BPM C Min.wav
06_Solaris_C#min__s70__seed7.wav,C#min,120,s70,Solaris,7,cKz! Solaris C#min 120 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Juice - 120 BPM C# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Juice - 120 BPM C# Min.wav
06_Solaris_C#min__s70__seed123.wav,C#min,120,s70,Solaris,123,cKz! Solaris C#min 120 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Juice - 120 BPM C# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Juice - 120 BPM C# Min.wav
07_Velvet_Emin__s70__seed7.wav,Emin,142,s70,Velvet,7,cKz! Velvet Emin 142 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Paper - 142 BPM E Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Paper - 142 BPM E Min.wav
07_Velvet_Emin__s70__seed123.wav,Emin,142,s70,Velvet,123,cKz! Velvet Emin 142 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Paper - 142 BPM E Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Paper - 142 BPM E Min.wav
