file,key,bpm,mood,title,seed,prompt,init_loop,init_path
00_Mirage_Dmin__s70__seed7.wav,Dmin,140,s70,Mirage,7,cKz! Mirage Dmin 140 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav
01_Obsidian_Bmin__s70__seed7.wav,Bmin,130,s70,Obsidian,7,cKz! Obsidian Bmin 130 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Choppa - 130 BPM B Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Choppa - 130 BPM B Min.wav
02_Cascade_A#min__s70__seed7.wav,A#min,146,s70,Cascade,7,cKz! Cascade A#min 146 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav
03_Wraith_Amin__s70__seed7.wav,Amin,69,s70,Wraith,7,cKz! Wraith Amin 69 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Foolish - 69 BPM A Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Foolish - 69 BPM A Min.wav
04_Nocturne_Gmin__s70__seed7.wav,Gmin,145,s70,Nocturne,7,cKz! Nocturne Gmin 145 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Humanity - 145 BPM G Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Humanity - 145 BPM G Min.wav
05_Voltage_Cmin__s70__seed7.wav,Cmin,145,s70,Voltage,7,cKz! Voltage Cmin 145 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Immortal - 145 BPM C Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Immortal - 145 BPM C Min.wav
06_Solaris_C#min__s70__seed7.wav,C#min,120,s70,Solaris,7,cKz! Solaris C#min 120 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Juice - 120 BPM C# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Juice - 120 BPM C# Min.wav
07_Velvet_Emin__s70__seed7.wav,Emin,142,s70,Velvet,7,cKz! Velvet Emin 142 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Paper - 142 BPM E Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Paper - 142 BPM E Min.wav
08_Mirage_Fmin__s70__seed7.wav,Fmin,130,s70,Mirage,7,cKz! Mirage Fmin 130 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Science - 130 BPM F Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Science - 130 BPM F Min.wav
09_Obsidian_F#min__s70__seed7.wav,F#min,141,s70,Obsidian,7,cKz! Obsidian F#min 141 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Slime - 141 BPM F# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Slime - 141 BPM F# Min.wav
10_Cascade_D#min__s70__seed7.wav,D#min,150,s70,Cascade,7,cKz! Cascade D#min 150 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Tragedy - 150 BPM D# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Tragedy - 150 BPM D# Min.wav
11_Wraith_G#min__s70__seed7.wav,G#min,84,s70,Wraith,7,cKz! Wraith G#min 84 bpm @crushed_keyz,Cymatics - Dragon Platinum Ethnic Loop - Foreign - 84 BPM G# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Ethnic Loop - Foreign - 84 BPM G# Min.wav
