file,key,bpm,mood,title,seed,prompt,init_loop,init_path
00_Mirage_Dmin__s60__seed7.wav,Dmin,140,s60,Mirage,7,cKz! Mirage Dmin 140 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav
00_Mirage_Dmin__s75__seed7.wav,Dmin,140,s75,Mirage,7,cKz! Mirage Dmin 140 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav
01_Obsidian_Bmin__s60__seed7.wav,Bmin,130,s60,Obsidian,7,cKz! Obsidian Bmin 130 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Choppa - 130 BPM B Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Choppa - 130 BPM B Min.wav
01_Obsidian_Bmin__s75__seed7.wav,Bmin,130,s75,Obsidian,7,cKz! Obsidian Bmin 130 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Choppa - 130 BPM B Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Choppa - 130 BPM B Min.wav
02_Cascade_A#min__s60__seed7.wav,A#min,146,s60,Cascade,7,cKz! Cascade A#min 146 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav
02_Cascade_A#min__s75__seed7.wav,A#min,146,s75,Cascade,7,cKz! Cascade A#min 146 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav
03_Wraith_Amin__s60__seed7.wav,Amin,69,s60,Wraith,7,cKz! Wraith Amin 69 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Foolish - 69 BPM A Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Foolish - 69 BPM A Min.wav
03_Wraith_Amin__s75__seed7.wav,Amin,69,s75,Wraith,7,cKz! Wraith Amin 69 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Foolish - 69 BPM A Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Foolish - 69 BPM A Min.wav
04_Nocturne_Gmin__s60__seed7.wav,Gmin,145,s60,Nocturne,7,cKz! Nocturne Gmin 145 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Humanity - 145 BPM G Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Humanity - 145 BPM G Min.wav
04_Nocturne_Gmin__s75__seed7.wav,Gmin,145,s75,Nocturne,7,cKz! Nocturne Gmin 145 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Humanity - 145 BPM G Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Humanity - 145 BPM G Min.wav
