file,key,bpm,mood,title,seed,prompt,init_loop,init_path
00_Mirage_A#min_init146_prompt146__cfg3__seed7.wav,A#min,prompt=146/init=146,cfg3,Mirage,7,cKz! Mirage A#min 146 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav
00_Mirage_A#min_init146_prompt146__cfg3__seed123.wav,A#min,prompt=146/init=146,cfg3,Mirage,123,cKz! Mirage A#min 146 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav
00_Mirage_A#min_init146_prompt146__cfg5__seed7.wav,A#min,prompt=146/init=146,cfg5,Mirage,7,cKz! Mirage A#min 146 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav
00_Mirage_A#min_init146_prompt146__cfg5__seed123.wav,A#min,prompt=146/init=146,cfg5,Mirage,123,cKz! Mirage A#min 146 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav
00_Mirage_A#min_init146_prompt146__cfg7__seed7.wav,A#min,prompt=146/init=146,cfg7,Mirage,7,cKz! Mirage A#min 146 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav
00_Mirage_A#min_init146_prompt146__cfg7__seed123.wav,A#min,prompt=146/init=146,cfg7,Mirage,123,cKz! Mirage A#min 146 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav
00_Mirage_A#min_init146_prompt106__bpmX__seed7.wav,A#min,prompt=106/init=146,bpmX,Mirage,7,cKz! Mirage A#min 106 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav
00_Mirage_A#min_init146_prompt106__bpmX__seed123.wav,A#min,prompt=106/init=146,bpmX,Mirage,123,cKz! Mirage A#min 106 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav
01_Obsidian_Amin_init69_prompt69__cfg3__seed7.wav,Amin,prompt=69/init=69,cfg3,Obsidian,7,cKz! Obsidian Amin 69 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Foolish - 69 BPM A Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Foolish - 69 BPM A Min.wav
01_Obsidian_Amin_init69_prompt69__cfg3__seed123.wav,Amin,prompt=69/init=69,cfg3,Obsidian,123,cKz! Obsidian Amin 69 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Foolish - 69 BPM A Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Foolish - 69 BPM A Min.wav
