file,key,bpm,mood,title,seed,prompt,init_loop,init_path
00_Mirage_Dmin__noinit__seed7.wav,Dmin,140,noinit,Mirage,7,cKz! Mirage Dmin 140 bpm @crushed_keyz,,
00_Mirage_Dmin__noinit__seed123.wav,Dmin,140,noinit,Mirage,123,cKz! Mirage Dmin 140 bpm @crushed_keyz,,
00_Mirage_Dmin__s60__seed7.wav,Dmin,140,s60,Mirage,7,cKz! Mirage Dmin 140 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav
00_Mirage_Dmin__s60__seed123.wav,Dmin,140,s60,Mirage,123,cKz! Mirage Dmin 140 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav
00_Mirage_Dmin__s75__seed7.wav,Dmin,140,s75,Mirage,7,cKz! Mirage Dmin 140 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav
00_Mirage_Dmin__s75__seed123.wav,Dmin,140,s75,Mirage,123,cKz! Mirage Dmin 140 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav
00_Mirage_Dmin__s85__seed7.wav,Dmin,140,s85,Mirage,7,cKz! Mirage Dmin 140 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav
00_Mirage_Dmin__s85__seed123.wav,Dmin,140,s85,Mirage,123,cKz! Mirage Dmin 140 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav
00_Mirage_Dmin__s92__seed7.wav,Dmin,140,s92,Mirage,7,cKz! Mirage Dmin 140 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav
00_Mirage_Dmin__s92__seed123.wav,Dmin,140,s92,Mirage,123,cKz! Mirage Dmin 140 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav
01_Obsidian_Bmin__noinit__seed7.wav,Bmin,130,noinit,Obsidian,7,cKz! Obsidian Bmin 130 bpm @crushed_keyz,,
01_Obsidian_Bmin__noinit__seed123.wav,Bmin,130,noinit,Obsidian,123,cKz! Obsidian Bmin 130 bpm @crushed_keyz,,
