file,key,bpm,mood,title,seed,prompt,init_loop,init_path
00_Mirage_initDmin_promptDmin__match__seed7.wav,prompt=Dmin/init=Dmin,140,match,Mirage,7,cKz! Mirage Dmin 140 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav
00_Mirage_initDmin_promptDmin__match__seed123.wav,prompt=Dmin/init=Dmin,140,match,Mirage,123,cKz! Mirage Dmin 140 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav
00_Mirage_initDmin_promptEmin__up2__seed7.wav,prompt=Emin/init=Dmin,140,up2,Mirage,7,cKz! Mirage Emin 140 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav
00_Mirage_initDmin_promptEmin__up2__seed123.wav,prompt=Emin/init=Dmin,140,up2,Mirage,123,cKz! Mirage Emin 140 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav
00_Mirage_initDmin_promptG#min__tritone__seed7.wav,prompt=G#min/init=Dmin,140,tritone,Mirage,7,cKz! Mirage G#min 140 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav
00_Mirage_initDmin_promptG#min__tritone__seed123.wav,prompt=G#min/init=Dmin,140,tritone,Mirage,123,cKz! Mirage G#min 140 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav
00_Mirage_initDmin_promptnone__nokey__seed7.wav,prompt=none/init=Dmin,140,nokey,Mirage,7,cKz! Mirage 140 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav
00_Mirage_initDmin_promptnone__nokey__seed123.wav,prompt=none/init=Dmin,140,nokey,Mirage,123,cKz! Mirage 140 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav
01_Obsidian_initBmin_promptBmin__match__seed7.wav,prompt=Bmin/init=Bmin,130,match,Obsidian,7,cKz! Obsidian Bmin 130 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Choppa - 130 BPM B Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Choppa - 130 BPM B Min.wav
01_Obsidian_initBmin_promptBmin__match__seed123.wav,prompt=Bmin/init=Bmin,130,match,Obsidian,123,cKz! Obsidian Bmin 130 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Choppa - 130 BPM B Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Choppa - 130 BPM B Min.wav
