file,key,bpm,mood,title,seed,prompt,init_loop,init_path
00_Mirage_initA#min_promptA#min__match__seed7.wav,prompt=A#min/init=A#min,146,match,Mirage,7,cKz! Mirage A#min 146 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav
00_Mirage_initA#min_promptA#min__match__seed123.wav,prompt=A#min/init=A#min,146,match,Mirage,123,cKz! Mirage A#min 146 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav
00_Mirage_initA#min_promptEmin__tritone__seed7.wav,prompt=Emin/init=A#min,146,tritone,Mirage,7,cKz! Mirage Emin 146 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav
00_Mirage_initA#min_promptEmin__tritone__seed123.wav,prompt=Emin/init=A#min,146,tritone,Mirage,123,cKz! Mirage Emin 146 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav
01_Obsidian_initAmin_promptAmin__match__seed7.wav,prompt=Amin/init=Amin,69,match,Obsidian,7,cKz! Obsidian Amin 69 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Foolish - 69 BPM A Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Foolish - 69 BPM A Min.wav
01_Obsidian_initAmin_promptAmin__match__seed123.wav,prompt=Amin/init=Amin,69,match,Obsidian,123,cKz! Obsidian Amin 69 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Foolish - 69 BPM A Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Foolish - 69 BPM A Min.wav
01_Obsidian_initAmin_promptD#min__tritone__seed7.wav,prompt=D#min/init=Amin,69,tritone,Obsidian,7,cKz! Obsidian D#min 69 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Foolish - 69 BPM A Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Foolish - 69 BPM A Min.wav
01_Obsidian_initAmin_promptD#min__tritone__seed123.wav,prompt=D#min/init=Amin,69,tritone,Obsidian,123,cKz! Obsidian D#min 69 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Foolish - 69 BPM A Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Foolish - 69 BPM A Min.wav
02_Cascade_initBmin_promptBmin__match__seed7.wav,prompt=Bmin/init=Bmin,130,match,Cascade,7,cKz! Cascade Bmin 130 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Choppa - 130 BPM B Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Choppa - 130 BPM B Min.wav
02_Cascade_initBmin_promptBmin__match__seed123.wav,prompt=Bmin/init=Bmin,130,match,Cascade,123,cKz! Cascade Bmin 130 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Choppa - 130 BPM B Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Choppa - 130 BPM B Min.wav
02_Cascade_initBmin_promptFmin__tritone__seed7.wav,prompt=Fmin/init=Bmin,130,tritone,Cascade,7,cKz! Cascade Fmin 130 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Choppa - 130 BPM B Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Choppa - 130 BPM B Min.wav
02_Cascade_initBmin_promptFmin__tritone__seed123.wav,prompt=Fmin/init=Bmin,130,tritone,Cascade,123,cKz! Cascade Fmin 130 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Choppa - 130 BPM B Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Choppa - 130 BPM B Min.wav
03_Solaris_initC#min_promptC#min__match__seed7.wav,prompt=C#min/init=C#min,120,match,Solaris,7,cKz! Solaris C#min 120 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Juice - 120 BPM C# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Juice - 120 BPM C# Min.wav
03_Solaris_initC#min_promptC#min__match__seed123.wav,prompt=C#min/init=C#min,120,match,Solaris,123,cKz! Solaris C#min 120 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Juice - 120 BPM C# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Juice - 120 BPM C# Min.wav
03_Solaris_initC#min_promptGmin__tritone__seed7.wav,prompt=Gmin/init=C#min,120,tritone,Solaris,7,cKz! Solaris Gmin 120 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Juice - 120 BPM C# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Juice - 120 BPM C# Min.wav
03_Solaris_initC#min_promptGmin__tritone__seed123.wav,prompt=Gmin/init=C#min,120,tritone,Solaris,123,cKz! Solaris Gmin 120 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Juice - 120 BPM C# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Juice - 120 BPM C# Min.wav
04_Wraith_initCmin_promptCmin__match__seed7.wav,prompt=Cmin/init=Cmin,145,match,Wraith,7,cKz! Wraith Cmin 145 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Immortal - 145 BPM C Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Immortal - 145 BPM C Min.wav
04_Wraith_initCmin_promptCmin__match__seed123.wav,prompt=Cmin/init=Cmin,145,match,Wraith,123,cKz! Wraith Cmin 145 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Immortal - 145 BPM C Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Immortal - 145 BPM C Min.wav
