file,key,bpm,mood,title,seed,prompt,init_loop,init_path
sig75_plain__seed7.wav,,,σ0.75/50st/plain,plain,7,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig75_plain__seed123.wav,,,σ0.75/50st/plain,plain,123,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig75_plain__seed777.wav,,,σ0.75/50st/plain,plain,777,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig75_plain__seed1234.wav,,,σ0.75/50st/plain,plain,1234,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig75_plain__seed42.wav,,,σ0.75/50st/plain,plain,42,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig75_plain__seed99.wav,,,σ0.75/50st/plain,plain,99,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig80_plain__seed7.wav,,,σ0.8/50st/plain,plain,7,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig80_plain__seed123.wav,,,σ0.8/50st/plain,plain,123,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig80_plain__seed777.wav,,,σ0.8/50st/plain,plain,777,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig80_plain__seed1234.wav,,,σ0.8/50st/plain,plain,1234,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig80_plain__seed42.wav,,,σ0.8/50st/plain,plain,42,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig80_plain__seed99.wav,,,σ0.8/50st/plain,plain,99,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
