file,key,bpm,mood,title,seed,prompt,init_loop,init_path
sig55_plain_st50__seed7.wav,,,σ0.55/50st/plain,plain,7,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig55_plain_st50__seed123.wav,,,σ0.55/50st/plain,plain,123,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig55_plain_st50__seed777.wav,,,σ0.55/50st/plain,plain,777,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig55_plain_st150__seed7.wav,,,σ0.55/150st/plain,plain,7,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig55_plain_st150__seed123.wav,,,σ0.55/150st/plain,plain,123,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig55_plain_st150__seed777.wav,,,σ0.55/150st/plain,plain,777,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig65_plain_st50__seed7.wav,,,σ0.65/50st/plain,plain,7,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig65_plain_st50__seed123.wav,,,σ0.65/50st/plain,plain,123,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig65_plain_st50__seed777.wav,,,σ0.65/50st/plain,plain,777,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig65_plain_st150__seed7.wav,,,σ0.65/150st/plain,plain,7,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig65_plain_st150__seed123.wav,,,σ0.65/150st/plain,plain,123,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig65_plain_st150__seed777.wav,,,σ0.65/150st/plain,plain,777,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig75_plain_st50__seed7.wav,,,σ0.75/50st/plain,plain,7,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig75_plain_st50__seed123.wav,,,σ0.75/50st/plain,plain,123,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig75_plain_st50__seed777.wav,,,σ0.75/50st/plain,plain,777,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig75_plain_st150__seed7.wav,,,σ0.75/150st/plain,plain,7,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig75_plain_st150__seed123.wav,,,σ0.75/150st/plain,plain,123,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
sig75_plain_st150__seed777.wav,,,σ0.75/150st/plain,plain,777,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
