file,key,bpm,mood,title,seed,prompt,init_loop,init_path
ls10__seed7.wav,,,σ0.75/ls10,ls10,7,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls10__seed123.wav,,,σ0.75/ls10,ls10,123,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls10__seed777.wav,,,σ0.75/ls10,ls10,777,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls10__seed1234.wav,,,σ0.75/ls10,ls10,1234,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls08__seed7.wav,,,σ0.75/ls08,ls08,7,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls08__seed123.wav,,,σ0.75/ls08,ls08,123,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls08__seed777.wav,,,σ0.75/ls08,ls08,777,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls08__seed1234.wav,,,σ0.75/ls08,ls08,1234,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls06__seed7.wav,,,σ0.75/ls06,ls06,7,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls06__seed123.wav,,,σ0.75/ls06,ls06,123,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls06__seed777.wav,,,σ0.75/ls06,ls06,777,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls06__seed1234.wav,,,σ0.75/ls06,ls06,1234,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
gate__seed7.wav,,,σ0.75/gate,gate,7,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
gate__seed123.wav,,,σ0.75/gate,gate,123,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
gate__seed777.wav,,,σ0.75/gate,gate,777,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
gate__seed1234.wav,,,σ0.75/gate,gate,1234,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
