file,key,bpm,mood,title,seed,prompt,init_loop,init_path
00_Ifrit_Cmin__s75__seed7.wav,Cmin,130,s75,Ifrit,7,cKz! Ifrit Cmin 130 bpm @crushed_keyz,PDMX 01 - 130 BPM C Min.wav,/Users/mikemcgovern/stable-audio-3/data/pdmx_smooth/PDMX 01 - 130 BPM C Min.wav
00_Ifrit_Cmin__s75__seed123.wav,Cmin,130,s75,Ifrit,123,cKz! Ifrit Cmin 130 bpm @crushed_keyz,PDMX 01 - 130 BPM C Min.wav,/Users/mikemcgovern/stable-audio-3/data/pdmx_smooth/PDMX 01 - 130 BPM C Min.wav
00_Ifrit_Cmin__s75__seed777.wav,Cmin,130,s75,Ifrit,777,cKz! Ifrit Cmin 130 bpm @crushed_keyz,PDMX 01 - 130 BPM C Min.wav,/Users/mikemcgovern/stable-audio-3/data/pdmx_smooth/PDMX 01 - 130 BPM C Min.wav
01_Ember_C#min__s75__seed7.wav,C#min,138,s75,Ember,7,cKz! Ember C#min 138 bpm @crushed_keyz,PDMX 02 - 138 BPM C# Min.wav,/Users/mikemcgovern/stable-audio-3/data/pdmx_smooth/PDMX 02 - 138 BPM C# Min.wav
01_Ember_C#min__s75__seed123.wav,C#min,138,s75,Ember,123,cKz! Ember C#min 138 bpm @crushed_keyz,PDMX 02 - 138 BPM C# Min.wav,/Users/mikemcgovern/stable-audio-3/data/pdmx_smooth/PDMX 02 - 138 BPM C# Min.wav
01_Ember_C#min__s75__seed777.wav,C#min,138,s75,Ember,777,cKz! Ember C#min 138 bpm @crushed_keyz,PDMX 02 - 138 BPM C# Min.wav,/Users/mikemcgovern/stable-audio-3/data/pdmx_smooth/PDMX 02 - 138 BPM C# Min.wav
02_Sepulcher_Dmin__s75__seed7.wav,Dmin,140,s75,Sepulcher,7,cKz! Sepulcher Dmin 140 bpm @crushed_keyz,PDMX 03 - 140 BPM D Min.wav,/Users/mikemcgovern/stable-audio-3/data/pdmx_smooth/PDMX 03 - 140 BPM D Min.wav
02_Sepulcher_Dmin__s75__seed123.wav,Dmin,140,s75,Sepulcher,123,cKz! Sepulcher Dmin 140 bpm @crushed_keyz,PDMX 03 - 140 BPM D Min.wav,/Users/mikemcgovern/stable-audio-3/data/pdmx_smooth/PDMX 03 - 140 BPM D Min.wav
02_Sepulcher_Dmin__s75__seed777.wav,Dmin,140,s75,Sepulcher,777,cKz! Sepulcher Dmin 140 bpm @crushed_keyz,PDMX 03 - 140 BPM D Min.wav,/Users/mikemcgovern/stable-audio-3/data/pdmx_smooth/PDMX 03 - 140 BPM D Min.wav
03_Chrysoprase_D#min__s75__seed7.wav,D#min,145,s75,Chrysoprase,7,cKz! Chrysoprase D#min 145 bpm @crushed_keyz,PDMX 04 - 145 BPM D# Min.wav,/Users/mikemcgovern/stable-audio-3/data/pdmx_smooth/PDMX 04 - 145 BPM D# Min.wav
03_Chrysoprase_D#min__s75__seed123.wav,D#min,145,s75,Chrysoprase,123,cKz! Chrysoprase D#min 145 bpm @crushed_keyz,PDMX 04 - 145 BPM D# Min.wav,/Users/mikemcgovern/stable-audio-3/data/pdmx_smooth/PDMX 04 - 145 BPM D# Min.wav
03_Chrysoprase_D#min__s75__seed777.wav,D#min,145,s75,Chrysoprase,777,cKz! Chrysoprase D#min 145 bpm @crushed_keyz,PDMX 04 - 145 BPM D# Min.wav,/Users/mikemcgovern/stable-audio-3/data/pdmx_smooth/PDMX 04 - 145 BPM D# Min.wav
04_Photon_Emin__s75__seed7.wav,Emin,150,s75,Photon,7,cKz! Photon Emin 150 bpm @crushed_keyz,PDMX 05 - 150 BPM E Min.wav,/Users/mikemcgovern/stable-audio-3/data/pdmx_smooth/PDMX 05 - 150 BPM E Min.wav
04_Photon_Emin__s75__seed123.wav,Emin,150,s75,Photon,123,cKz! Photon Emin 150 bpm @crushed_keyz,PDMX 05 - 150 BPM E Min.wav,/Users/mikemcgovern/stable-audio-3/data/pdmx_smooth/PDMX 05 - 150 BPM E Min.wav
04_Photon_Emin__s75__seed777.wav,Emin,150,s75,Photon,777,cKz! Photon Emin 150 bpm @crushed_keyz,PDMX 05 - 150 BPM E Min.wav,/Users/mikemcgovern/stable-audio-3/data/pdmx_smooth/PDMX 05 - 150 BPM E Min.wav
